bank,ifsc,branch,centre,district,state,address,contact,city,micr
Abhyudaya Co-operative Bank,ABHY0065011,SEWRI,MUMBAI,MUMBAI,MAHARASHTRA,"NAVNIDHI INDUSTRIAL ESTATE, ACHARYA DONDHE MARG, SEWRI, MUMBAI-400015",+912224136008,GREATER MUMBAI,400065011
Abhyudaya Co-operative Bank,ABHY0065012,WADALA,MUMBAI,MUMBAI,MAHARASHTRA,"B.P.T.MARKET BLDG., NADKARNI PARK, WADALA (EAST), MUMBAI-400037",+912224184512,GREATER MUMBAI,400065012
Abhyudaya Co-operative Bank,ABHY0065013,WORLI,MUMBAI,MUMBAI,MAHARASHTRA,"LANDMARK,NEXT TO MAHINDRA TOWERS, PLOT NO.1, J M BHOSLE MARG, WORLI, MUMBAI-400018",+912224921104,GREATER MUMBAI,400065013
Abhyudaya Co-operative Bank,ABHY0065014,MUMBRA,MUMBAI,MUMBAI,MAHARASHTRA,"RIZVI APARTMENTS, OPP. RAILWAY STATION, MUMBRA-400612",+912225462172,GREATER MUMBAI,400065014
Abhyudaya Co-operative Bank,ABHY0065015,TURBHE,MUMBAI,MUMBAI,MAHARASHTRA,"A.P.M.C.MARKET, ADMINISTRATIVE BLDG, TURBHE, NAVI MUMBAI-400705",+912227888044,GREATER MUMBAI,400065015
Abhyudaya Co-operative Bank,ABHY0065016,VASHI,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., SECTOR 17, VASHI, NAVI MUMBAI-400705",+912227892458,GREATER MUMBAI,400065016
Abhyudaya Co-operative Bank,ABHY0065017,MOBILE BANK,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., SECTOR 17, VASHI, NAVI MUMBAI-400703",+912227892444,GREATER MUMBAI,400065017
Abhyudaya Co-operative Bank,ABHY0065018,NEW PANVEL,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., SECTOR 17, NEW PANVEL-410206",+912227453585,GREATER MUMBAI,400065018
Abhyudaya Co-operative Bank,ABHY0065019,KALAMBOLI,MUMBAI,MUMBAI,MAHARASHTRA,"BLDG F-4, SHOP NO 17-20, SECTOR 3 EB, KALAMBOLI, NAVI MUMBAI-410218",+912227420148,GREATER MUMBAI,400065019
Abhyudaya Co-operative Bank,ABHY0065020,DHARAVI,MUMBAI,MUMBAI,MAHARASHTRA,"WESTERN INDIA TANNERIES, SION DHARAVI ROAD, MUMBAI-400017",+912224077126,GREATER MUMBAI,400065020
Abhyudaya Co-operative Bank,ABHY0065021,MALAD EAST,MUMBAI,MUMBAI,MAHARASHTRA,"148 ELLORA SHOPPING CENTRE, DAFTARY ROAD, MALAD (EAST), MUMBAI-400097",+912228800272,GREATER MUMBAI,400065021
Abhyudaya Co-operative Bank,ABHY0065022,CBD BELAPUR,MUMBAI,MUMBAI,MAHARASHTRA,"SECTOR-3, CHANAKYA SHOPPING CENTRE, BELAPUR (CBD), NAVI MUMBAI-400614",+912227572179,GREATER MUMBAI,400065022
Abhyudaya Co-operative Bank,ABHY0065023,BHIWANDI,MUMBAI,MUMBAI,MAHARASHTRA,"BLDG F-1,GOPAL NAGAR,BHIWANDI-KALYAN ROAD, BHIWANDI, 421302",+912522251852,GREATER MUMBAI,400065023
Abhyudaya Co-operative Bank,ABHY0065024,BORIVALI,MUMBAI,MUMBAI,MAHARASHTRA,"RATNADEEP APARTMENTS, CARTER ROAD NO.1, BORIVLI (EAST), MUMBAI-400066",+912228636529,GREATER MUMBAI,400065024
Abhyudaya Co-operative Bank,ABHY0065025,HILL ROAD,MUMBAI,MUMBAI,MAHARASHTRA,"HILL-N-DALE, HILL ROAD, NR.BANDRA POLICE STATION, BANDRA (W), MUMBAI-400050",+912226402597,GREATER MUMBAI,400065025
Abhyudaya Co-operative Bank,ABHY0065026,KHER NAGAR,MUMBAI,MUMBAI,MAHARASHTRA,"JANATA EDUCATION SOC. PREMISES, KHER NAGAR, BANDRA (E), MUMBAI-400051",+912226473470,GREATER MUMBAI,400065026
Abhyudaya Co-operative Bank,ABHY0065027,KANDIVLI-EAST,MUMBAI,MUMBAI,MAHARASHTRA,"GUNDECHA INDL.COMPLEX, AKURLI RD, KANDIVLI (E), MUMBAI-400101",+912228851962,GREATER MUMBAI,400065027
Abhyudaya Co-operative Bank,ABHY0065028,SHERLY RAJAN,MUMBAI,MUMBAI,MAHARASHTRA,"KHAIR HOUSE, SHERLY RAJAN RD, BANDRA (WEST), MUMBAI-400050",+912226047905,GREATER MUMBAI,400065028
Abhyudaya Co-operative Bank,ABHY0065029,GANESH NAGAR,MUMBAI,MUMBAI,MAHARASHTRA,"NAVJIVAN VIDYA MANDIR, GANESH NAGAR, BHANDUP (W), MUMBAI-400078.",+912225951049,GREATER MUMBAI,400065029
Abhyudaya Co-operative Bank,ABHY0065030,MALAD WEST,MUMBAI,MUMBAI,MAHARASHTRA,"ST.JUDES HIGH SCHOOL, KHARODI, MALAD(W), MUMBAI,400095",+912228073539,GREATER MUMBAI,400065030
Abhyudaya Co-operative Bank,ABHY0065031,NERUL,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG. PLOT NO.3A, SECTOR 15, NERUL, NAVI MUMBAI-400706",+912227717823,GREATER MUMBAI,400065031
Abhyudaya Co-operative Bank,ABHY0065032,AIROLI,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., PLOT NO.26 SECTOR 17, AIROLI, NAVI MUMBAI-400701",+912227792043,GREATER MUMBAI,400065032
Abhyudaya Co-operative Bank,ABHY0065034,ANDHERI,MUMBAI,MUMBAI,MAHARASHTRA,"SHRADHA SHOPPING CENTRE, OLD NAGARDAS ROAD, ANDHERI (E), MUMBAI-400069",+912226833207,GREATER MUMBAI,400065034
Abhyudaya Co-operative Bank,ABHY0065035,NHAVA SHEVA,MUMBAI,MUMBAI,MAHARASHTRA,"J.N.P.T. SHOPPING COMPLEX, NHAVA SHEVA, NAVI MUMBAI-400707",+912227471237,GREATER MUMBAI,400065035
Abhyudaya Co-operative Bank,ABHY0065036,BANKING COMPLEX,MUMBAI,MUMBAI,MAHARASHTRA,"UNIT NO.7 SECTOR 19, PHASE II, APMC, VASHI, NAVI MUMBAI-400705",+912227830425,GREATER MUMBAI,400065036
Abhyudaya Co-operative Bank,ABHY0065037,KOPARKHAIRNE,MUMBAI,MUMBAI,MAHARASHTRA,"UNIT NO.1, PLOT 24-25 SECTOR 6, KOPARKHAIRANE, NAVI MUMBAI-400701",+912227544040,GREATER MUMBAI,400065037
Abhyudaya Co-operative Bank,ABHY0065038,DADAR,MUMBAI,MUMBAI,MAHARASHTRA,"GURUKRIPA CHS LTD, OPP. PLAZA CINEMA, DADAR , MUMBAI-400028.",+912224325136,GREATER MUMBAI,400065038
Abhyudaya Co-operative Bank,ABHY0065039,MULUND,MUMBAI,MUMBAI,MAHARASHTRA,"NEELKANTHDHARA, NETAJI SUBHASHCHANDRA ROAD, MULUND (W), MUMBAI-400080.",+912225641442,GREATER MUMBAI,400065039
Abhyudaya Co-operative Bank,ABHY0065040,CHARAI,MUMBAI,MUMBAI,MAHARASHTRA,"MUMBA DEVI APT., JOSHIWADA, CHARAI, VEER SAVARKAR PATH, THANE WEST 400601",+912225447077,GREATER MUMBAI,400065040
Abhyudaya Co-operative Bank,ABHY0065041,LOKMANYA NAGAR,MUMBAI,MUMBAI,MAHARASHTRA,"PANCHPAKHADI SAMARTHA CHS LTD., LOKMANYA NAGAR, THANE (W)-400608",+912225806049,GREATER MUMBAI,400065041
Abhyudaya Co-operative Bank,ABHY0065042,KHARGHAR,MUMBAI,MUMBAI,MAHARASHTRA,"SHOP NO 66/67, PATEL HERITAGE, PLOT NO 15/17, SECTOR 7, KHARGHAR, NAVI MUMBAI 410210",+912227741002,RAIGAD,400065042
Abhyudaya Co-operative Bank,ABHY0065043,VASAI,VASAI,VASAI,MAHARASHTRA,"OM SHIVSHAKTI COMPLEX, VAJRESHWARI ROAD, VALIV VILLAGE, VASAI ROAD (EAST), VASAI 401208",+912502452512,THANE,400065043
Abhyudaya Co-operative Bank,ABHY0065044,GHANSOLI,NAVI MUMBAI,NAVI MUMBAI,MAHARASHTRA,"SHREE MANOSHI COMPLEX, PLOT NO.5& 6, SECTOR-3, GHANSOLI, NAVI MUMBAI GHANSOLI- 410 701.",+912227549124,THANE,400065044
Abhyudaya Co-operative Bank,ABHY0065045,KAMOTHE,NAVI MUMBAI,NAVI MUMBAI,MAHARASHTRA,"DHARTI COMPLEX, SHOP NO.7,8,9310 & 11, PLOT NO. 60/61, SECTOR 18, KAMOTHE II, PANVEL-",+912265298847,RAIGAD,400065045
Abhyudaya Co-operative Bank,ABHY0065046,BHAYANDAR,THANE,THANE,MAHARASHTRA,"107 TO 111 ON GR. FLOOR & 1ST FLOOR. MALHAR ARCADE, CODDEV VILLAGE, NAVGHAR PHATAK ROAD, BHAYANDAR (E), DIST. THANE, 401101",+912228140964,THANE,400065046
Abhyudaya Co-operative Bank,ABHY0065047,DAHISAR EAST,MUMBAI,MUMBAI,MAHARASHTRA,"GR. FLOOR, MADHURAM HALL, HARISHANKAR JOSHI ROAD, DAHISAR (E), MUMBAI - 400 068",+912228480321,GREATER MUMBAI,400065047
Abhyudaya Co-operative Bank,ABHY0065048,KALYAN-WEST,THANE,THANE,MAHARASHTRA,"FLOWER VALLEY, KHADAKPADA, KALYAN (W), DIST. THANE 421 301",+912512203321,THANE,400065048
